model,condition,feature,raw_n,unique_n,raw_mean,dedup_mean,diff
Aya Expanse,BOS-only,Sent. length,1908,1908,26.51971494503807,26.519714945038075,-3.552713678800501e-15
Aya Expanse,Chat-no-gen,Assist.-phrase,947,947,0.0060325592711968235,0.0060325592711968235,0.0
Aya Expanse,Chat-no-gen,Refusal-like,947,947,0.0023316362406409752,0.0023316362406409757,-4.336808689942018e-19
Aya Expanse,Chat-no-gen,Self-ref.,947,947,0.016327590309082245,0.016327590309082245,0.0
Aya Expanse,Chat-no-gen,Hedging,947,947,0.0033938719928270373,0.003393871992827038,-8.673617379884035e-19
Aya Expanse,Chat-no-gen,Sent. length,947,947,32.82869045499936,32.82869045499936,0.0
Aya Expanse,Empty-user,Assist.-phrase,1879,1879,0.03349580182984598,0.03349580182984599,-6.938893903907228e-18
Aya Expanse,Empty-user,Refusal-like,1879,1879,0.009832749806595535,0.009832749806595537,-1.734723475976807e-18
Aya Expanse,Empty-user,Self-ref.,1879,1879,0.008309037419103368,0.008309037419103368,0.0
Aya Expanse,Empty-user,Hedging,1879,1879,0.011800617157974841,0.011800617157974841,0.0
Aya Expanse,Empty-user,Sent. length,1879,1879,17.513800668265677,17.513800668265677,0.0
Ministral 3 8B,BOS-only,Assist.-phrase,1995,1995,0.0023108275739854686,0.0023108275739854686,0.0
Ministral 3 8B,BOS-only,Refusal-like,1995,1995,0.0012920760665121568,0.001292076066512157,-2.168404344971009e-19
Ministral 3 8B,BOS-only,Self-ref.,1995,1995,0.0027323731906607786,0.002732373190660778,4.336808689942018e-19
Ministral 3 8B,BOS-only,Hedging,1995,1995,0.0006398376974864499,0.0006398376974864499,0.0
Ministral 3 8B,BOS-only,Sent. length,1995,1995,35.30860919826975,35.30860919826975,0.0
Ministral 3 8B,Empty-user,Assist.-phrase,1999,1999,0.0029469641025418915,0.002946964102541891,4.336808689942018e-19
Ministral 3 8B,Empty-user,Refusal-like,1999,1999,0.000919729484011625,0.000919729484011625,0.0
Ministral 3 8B,Empty-user,Self-ref.,1999,1999,0.002573677795711018,0.002573677795711018,0.0
Ministral 3 8B,Empty-user,Hedging,1999,1999,0.0007978203654922524,0.0007978203654922524,0.0
Ministral 3 8B,Empty-user,Sent. length,1999,1999,35.371210301326514,35.371210301326514,0.0
